mode: set
webapp/cmd/api/utilities.go:10.110,15.19 2 1
webapp/cmd/api/api-handlers.go:109.16,112.3 2 0
webapp/cmd/api/api-handlers.go:115.16,118.3 2 0
webapp/cmd/api/api-handlers.go:135.84,136.36 1 1
webapp/cmd/api/api-handlers.go:193.2,193.71 1 0
webapp/cmd/api/api-handlers.go:136.36,137.44 1 1
webapp/cmd/api/api-handlers.go:137.44,141.100 3 1
webapp/cmd/api/api-handlers.go:145.4,145.18 1 1
webapp/cmd/api/api-handlers.go:156.4,157.18 2 1
webapp/cmd/api/api-handlers.go:162.4,163.18 2 1
webapp/cmd/api/api-handlers.go:168.4,169.18 2 1
webapp/cmd/api/api-handlers.go:174.4,188.10 3 1
webapp/cmd/api/api-handlers.go:141.100,143.5 1 1
webapp/cmd/api/api-handlers.go:145.18,148.5 2 1
webapp/cmd/api/api-handlers.go:157.18,160.5 2 0
webapp/cmd/api/api-handlers.go:163.18,166.5 2 0
webapp/cmd/api/api-handlers.go:169.18,172.5 2 0
webapp/cmd/api/api-handlers.go:197.74,199.16 2 1
webapp/cmd/api/api-handlers.go:204.2,204.44 1 1
webapp/cmd/api/api-handlers.go:199.16,202.3 2 0
webapp/cmd/api/api-handlers.go:208.73,210.16 2 1
webapp/cmd/api/api-handlers.go:215.2,216.16 2 1
webapp/cmd/api/api-handlers.go:221.2,221.43 1 1
webapp/cmd/api/api-handlers.go:210.16,213.3 2 1
webapp/cmd/api/api-handlers.go:216.16,219.3 2 1
webapp/cmd/api/api-handlers.go:225.76,228.16 3 1
webapp/cmd/api/api-handlers.go:233.2,234.16 2 1
webapp/cmd/api/api-handlers.go:239.2,239.37 1 1
webapp/cmd/api/api-handlers.go:228.16,231.3 2 1
webapp/cmd/api/api-handlers.go:234.16,237.3 2 1
webapp/cmd/api/api-handlers.go:243.76,245.16 2 1
webapp/cmd/api/api-handlers.go:250.2,251.16 2 1
webapp/cmd/api/api-handlers.go:256.2,256.37 1 1
webapp/cmd/api/api-handlers.go:245.16,248.3 2 1
webapp/cmd/api/api-handlers.go:251.16,254.3 2 0
webapp/cmd/api/api-handlers.go:260.76,263.16 3 1
webapp/cmd/api/api-handlers.go:268.2,269.16 2 1
webapp/cmd/api/api-handlers.go:274.2,274.37 1 1
webapp/cmd/api/api-handlers.go:263.16,266.3 2 1
webapp/cmd/api/api-handlers.go:269.16,272.3 2 0
webapp/cmd/api/api-handlers.go:277.86,292.2 3 0
webapp/cmd/api/api-middleware.go:5.68,6.70 1 1
webapp/cmd/api/api-middleware.go:6.70,8.28 2 1
webapp/cmd/api/api-middleware.go:8.28,13.4 4 1
webapp/cmd/api/api-middleware.go:13.9,15.4 1 1
webapp/cmd/api/api-middleware.go:19.70,20.70 1 1
webapp/cmd/api/api-middleware.go:20.70,22.17 2 1
webapp/cmd/api/api-middleware.go:27.3,28.9 2 1
webapp/cmd/api/api-middleware.go:22.17,25.4 2 1
webapp/cmd/api/api-routes.go:10.47,19.41 5 1
webapp/cmd/api/api-routes.go:26.2,30.43 3 1
webapp/cmd/api/api-routes.go:41.2,41.12 1 1
webapp/cmd/api/api-routes.go:19.41,23.3 3 1
webapp/cmd/api/api-routes.go:30.43,38.3 6 1
webapp/cmd/api/auth.go:28.118,38.22 3 1
webapp/cmd/api/auth.go:43.2,44.27 2 1
webapp/cmd/api/auth.go:49.2,49.32 1 1
webapp/cmd/api/auth.go:53.2,59.90 3 1
webapp/cmd/api/auth.go:68.2,68.16 1 1
webapp/cmd/api/auth.go:76.2,76.33 1 1
webapp/cmd/api/auth.go:81.2,81.27 1 1
webapp/cmd/api/auth.go:38.22,40.3 1 1
webapp/cmd/api/auth.go:44.27,46.3 1 1
webapp/cmd/api/auth.go:49.32,51.3 1 1
webapp/cmd/api/auth.go:59.90,61.58 1 1
webapp/cmd/api/auth.go:64.3,64.36 1 1
webapp/cmd/api/auth.go:61.58,63.4 1 0
webapp/cmd/api/auth.go:68.16,69.60 1 1
webapp/cmd/api/auth.go:72.3,72.22 1 1
webapp/cmd/api/auth.go:69.60,71.4 1 1
webapp/cmd/api/auth.go:76.33,78.3 1 1
webapp/cmd/api/auth.go:84.80,94.23 7 1
webapp/cmd/api/auth.go:101.2,105.16 3 1
webapp/cmd/api/auth.go:110.2,119.16 6 1
webapp/cmd/api/auth.go:123.2,129.24 2 1
webapp/cmd/api/auth.go:94.23,96.3 1 1
webapp/cmd/api/auth.go:96.8,98.3 1 1
webapp/cmd/api/auth.go:105.16,107.3 1 0
webapp/cmd/api/auth.go:119.16,121.3 1 0
webapp/cmd/api/db.go:12.42,14.16 2 0
webapp/cmd/api/db.go:18.2,19.16 2 0
webapp/cmd/api/db.go:23.2,23.16 1 0
webapp/cmd/api/db.go:14.16,16.3 1 0
webapp/cmd/api/db.go:19.16,21.3 1 0
webapp/cmd/api/db.go:26.56,28.16 2 0
webapp/cmd/api/db.go:32.2,34.24 2 0
webapp/cmd/api/db.go:28.16,30.3 1 0
webapp/cmd/api/main.go:21.13,29.16 7 0
webapp/cmd/api/main.go:32.2,39.16 5 0
webapp/cmd/api/main.go:29.16,31.3 1 0
webapp/cmd/api/main.go:39.16,41.3 1 0
